
8,PlayStation 5,868.0,./images/assets/products/6.png,PlayStation 5,1,Product White
9,WATCH APPEL,30.0,./images/assets/products/watch2.png,smartwatch,2,Series 5 SE
10,CASQUE,19,./images/assets/products/9.png,casque,2,Korp Cobalt 7.1
11,TELEVISION LG,2999,./images/assets/products/11.png,television,1,LG 32 Ultra HD
12,Clavier,19,./images/assets/products/10.png,clavier,2,Keyz Carbon E
13,T-shirt,30,./images/assets/products/t-shirt2-r.png,clothes,3,T-shirt Adidas
14,Souris,40,./images/assets/products/souris-gamer-we-gamium3200-dpi-removebg-preview.png,Souris,0,Kult Beryllium
15,Souris,50,./images//assets/products/souris3.png,souris,0,"Kult Caesium
16,TELEVISION SUMSUNG,3200.0,./images/assets/products/television22.png,television,0,"ultra hd 4k curved monitor
17,WATCH APPEL,400.0,./images/assets/products/watch2.png,smartwatch,0,Serier 8
18,Clavier,50.0,./images/assets/products/clavier2.png,clavier,0,Keys Caesium TKL
19,Dell,550.0,./images/assets/products/dell22.png,laptop,0,Latitude E7480
20,Lenovo,400.0,./images/assets/products/lenovo-thinkpad-x1-removebg-preview.png,laptop,0,Ideapad 720S
21,Camera,2450.0,./images/assets/products/D800-r.png,camera,2,Nikon D80
22,Jacket,130.0,./images/assets/products/adidas.png,clothes,3,Jacket Adidas
23,PlayStation 5,868.0,./images/assets/products/PlayStation.png,PlayStation 5,1,Product Black
15,Speaker,130.0,./images/assets/products/speakers.jpg,Speaker,2,Sony SRS-XB10
